Frank Darabont,1959,France,Doubs,6' (1.83 m)
Francis Ford Coppola,1939,USA,Michigan,"5' 10½"" (1.79 m)"
Christopher Nolan,1970,UK,England,"5' 11¼"" (1.81 m)"
Sidney Lumet,1924,USA,Pennsylvania,"5' 5"" (1.65 m)"
Steven Spielberg,1946,USA,Ohio,"5' 7¾"" (1.72 m)"
Peter Jackson,1961,New Zealand,North Island,"5' 6½"" (1.69 m)"
Quentin Tarantino,1963,USA,Tennessee,"6' 1"" (1.85 m)"
Sergio Leone,1929,Italy,Lazio,"5' 7"" (1.7 m)"
David Fincher,1962,USA,Colorado,"6' 0½"" (1.84 m)"
Robert Zemeckis,1951,USA,Illinois,6' (1.83 m)
Irvin Kershner,1923,USA,Pennsylvania,"6' 2"" (1.88 m)"
Lana Wachowski,1965,USA,Illinois,"5' 10½"" (1.79 m)"
Martin Scorsese,1942,USA,New York,"5' 4"" (1.63 m)"
Milos Forman,1932,Czechoslovakia [now Czech Republic],Cáslav,"5' 10"" (1.78 m)"
Akira Kurosawa,1910,Japan,Tokyo,"5' 11½"" (1.82 m)"
Fernando Meirelles,1955,Brazil,São Paulo,"5' 10½"" (1.79 m)"
Roberto Benigni,1952,Italy,Tuscany,"5' 6"" (1.68 m)"
Jonathan Demme,1944,USA,New York,"5' 10"" (1.78 m)"
Frank Capra,1897,Italy,Sicily,"5' 5½"" (1.66 m)"
George Lucas,1944,USA,California,"5' 7"" (1.7 m)"
Bong Joon Ho,1969,South Korea,Daegu,"5' 11¾"" (1.82 m)"
Hayao Miyazaki,1941,Japan,Tokyo,"5' 4½"" (1.64 m)"
Luc Besson,1959,France,Paris,"5' 7¾"" (1.72 m)"
Bryan Singer,1965,USA,New York,"5' 10"" (1.78 m)"
Masaki Kobayashi,1916,Japan,Hokkaido,No info
Roger Allers,1949,USA,New York,No info
Tony Kaye,1952,UK,England,"6' 2"" (1.88 m)"
Roman Polanski,1933,France,Paris,"5' 5"" (1.65 m)"
James Cameron,1954,Canada,Ontario,"6' 1½"" (1.87 m)"
Charles Chaplin,1889,UK,England,"5' 4"" (1.63 m)"
Alfred Hitchcock,1899,UK,England,"5' 9"" (1.75 m)"
Ridley Scott,1937,UK,England,"5' 8½"" (1.74 m)"
Olivier Nakache,1973,France,Hauts-de-Seine,No info
Damien Chazelle,1985,USA,Rhode Island,"5' 9½"" (1.77 m)"
Isao Takahata,1935,Japan,Mie,No info
Michael Curtiz,1886,Austria-Hungary [now Hungary],Budapest,"5' 9"" (1.75 m)"
Todd Phillips,1970,USA,New York,6' (1.83 m)
Giuseppe Tornatore,1956,Italy,Sicily,No info
Florian Henckel von Donnersmarck,1973,Germany,North Rhine-Westphalia,"6' 8½"" (2.05 m)"
Stanley Kubrick,1928,USA,New York,"5' 6½"" (1.69 m)"
Anthony Russo,1970,USA,Ohio,No info
Andrew Stanton,1965,USA,Massachusetts,6' (1.83 m)
Billy Wilder,1906,Poland],Malopolskie,"5' 11"" (1.8 m)"
Bob Persichetti,No info,No info,No info,No info
Chan-wook Park,1963,South Korea,Seoul,No info
Makoto Shinkai,1973,Japan,Nagano,No info
Lee Unkrich,1967,USA,Ohio,No info
Sam Mendes,1965,UK,England,"5' 9"" (1.75 m)"
Mel Gibson,1956,USA,New York,"5' 9¾"" (1.77 m)"
Wolfgang Petersen,1941,Germany,Emden,"5' 10"" (1.78 m)"
Rajkumar Hirani,1962,India,Maharashtra,No info
John Lasseter,1957,USA,California,"5' 7"" (1.7 m)"
Aamir Khan,1965,India,Maharashtra,"5' 4"" (1.62 m)"
Richard Marquand,1937,UK,Wales,"5' 10"" (1.78 m)"
Gus Van Sant,1952,USA,Kentucky,"5' 9"" (1.75 m)"
Darren Aronofsky,1969,USA,New York,6' (1.83 m)
Fritz Lang,1890,Austria-Hungary [now Austria],Vienna,"5' 11"" (1.8 m)"
Nitesh Tiwari,No info,No info,No info,No info
Michel Gondry,1963,France,Seine-et-Oise [now Yvelines],"5' 10"" (1.78 m)"
Orson Welles,1915,USA,Wisconsin,6' (1.83 m)
Thomas Vinterberg,1969,Denmark,Copenhagen,6' (1.83 m)
Nadine Labaki,1974,Lebanon,Beirut,"5' 5¾"" (1.67 m)"
Guy Ritchie,1968,UK,England,"5' 11"" (1.8 m)"
Vittorio De Sica,1901,Italy,Lazio,"5' 9¼"" (1.76 m)"
Stanley Donen,1924,USA,South Carolina,"5' 8"" (1.73 m)"
Brian De Palma,1940,USA,New Jersey,"5' 11"" (1.8 m)"
Jean-Pierre Jeunet,1953,France,Rhône-Alpes,No info
David Lean,1908,UK,England,"6' 1"" (1.86 m)"
George Roy Hill,1921,USA,Minnesota,No info
Asghar Farhadi,1972,Iran,Isfahan,No info
Robert Mulligan,1925,USA,New York,No info
Denis Villeneuve,1967,Canada,Québec,"5' 11¾"" (1.82 m)"
Pete Docter,1968,USA,Minnesota,"6' 4½"" (1.94 m)"
Curtis Hanson,1945,USA,Nevada,"6' 1"" (1.85 m)"
Terry Gilliam,1940,USA,Minnesota,"5' 9"" (1.75 m)"
Michael Mann,1943,USA,Illinois,"5' 8"" (1.73 m)"
John McTiernan,1951,USA,New York,6' (1.83 m)
Peter Farrelly,1956,USA,Pennsylvania,"5' 11¾"" (1.82 m)"
Oliver Hirschbiegel,1957,Germany,Hamburg,No info
Clint Eastwood,1930,USA,California,"6' 4"" (1.93 m)"
Majid Majidi,1959,Iran,Tehran,No info
Elem Klimov,1933,Russia],Volgogradskaya oblast,No info
John Sturges,1910,USA,Illinois,"6' 2"" (1.88 m)"
Joseph L. Mankiewicz,1909,USA,Pennsylvania,"5' 10"" (1.78 m)"
Ron Howard,1954,USA,Oklahoma,"5' 9"" (1.75 m)"
Guillermo del Toro,1964,Mexico,Jalisco,"5' 10"" (1.78 m)"
Juan José Campanella,1959,Argentina,Buenos Aires,No info
John Huston,1906,USA,Missouri,"6' 2"" (1.88 m)"
Stanley Kramer,1913,USA,New York,No info
Paul Thomas Anderson,1970,USA,California,"5' 10½"" (1.79 m)"
Martin McDonagh,1970,UK,England,"6' 1"" (1.85 m)"
Çagan Irmak,1970,Turkey,Izmir,No info
James McTeigue,No info,No info,No info,No info
Ingmar Bergman,1918,Sweden,Uppsala län,"5' 10½"" (1.79 m)"
Ethan Coen,1957,USA,Minnesota,"5' 8"" (1.73 m)"
Gavin O'Connor,1963,USA,New York,"6' 3½"" (1.92 m)"
Danny Boyle,1956,UK,England,"5' 11½"" (1.82 m)"
David Lynch,1946,USA,Montana,"5' 10"" (1.78 m)"
M. Night Shyamalan,1970,India,Pondicherry,"5' 10"" (1.78 m)"
John Carpenter,1948,USA,New York,"5' 11"" (1.8 m)"
Lenny Abrahamson,1966,Ireland,Dublin,"5' 5"" (1.65 m)"
Victor Fleming,1889,USA,California,"6' 1"" (1.85 m)"
Carol Reed,1906,UK,England,"6' 2"" (1.88 m)"
Elia Kazan,1909,Turkey],Ottoman Empire [now Istanbul,"5' 8"" (1.73 m)"
Andrei Tarkovsky,1932,Russia],USSR [now Ivanovskaya oblast,"5' 7½"" (1.71 m)"
Joel Coen,1954,USA,Minnesota,6' (1.83 m)
Peter Weir,1944,Australia,New South Wales,No info
Yasujirô Ozu,1903,Japan,Tokyo,"5' 6½"" (1.69 m)"
Michael Cimino,1939,USA,New York,"5' 5"" (1.65 m)"
Damián Szifron,1975,Argentina,Buenos Aires,No info
Yavuz Turgul,1946,Turkey,Istanbul,No info
Sriram Raghavan,No info,No info,No info,No info
Sergio Pablos,No info,No info,No info,No info
Adam Elliot,1972,Australia,South Australia,No info
Jim Sheridan,1949,Ireland,Dublin,"5' 7"" (1.7 m)"
Wes Anderson,1969,USA,Texas,"6' 1"" (1.85 m)"
James Mangold,1963,USA,New York,6' (1.83 m)
Dean DeBlois,1970,Canada,Quebec,"6' 2"" (1.88 m)"
Clyde Bruckman,1894,USA,California,No info
Richard Linklater,1960,USA,Texas,"5' 9"" (1.75 m)"
Buster Keaton,1895,USA,Kansas,"5' 5"" (1.65 m)"
Steve McQueen,1969,UK,England,"5' 9½"" (1.77 m)"
Stuart Rosenberg,1927,USA,New York,No info
Henri-Georges Clouzot,1907,France,Deux-Sèvres,No info
George Miller,1945,Australia,Queensland,"5' 7"" (1.7 m)"
Rob Reiner,1947,USA,New York,"6' 2"" (1.88 m)"
Sean Penn,1960,USA,California,"5' 8"" (1.73 m)"
Terry Jones,1942,UK,Wales,"5' 8"" (1.73 m)"
Oliver Stone,1946,USA,New York,6' (1.83 m)
Lasse Hallström,1946,Sweden,Stockholms län,"6' 0½"" (1.84 m)"
William Wyler,1902,France],Haut-Rhin,"5' 8"" (1.73 m)"
Carl Theodor Dreyer,1889,Denmark,Copenhagen,"5' 7"" (1.7 m)"
David Yates,1963,UK,England,"6' 1"" (1.85 m)"
François Truffaut,1932,France,Paris,"5' 6"" (1.68 m)"
Rakeysh Omprakash Mehra,1963,India,New Delhi,No info
Alejandro G. Iñárritu,1963,Mexico,Distrito Federal,"5' 10"" (1.78 m)"
Terry George,1952,UK,Northern Ireland,No info
Tom McCarthy,1966,USA,New Jersey,"5' 11"" (1.8 m)"
Céline Sciamma,1980,France,Val-d'Oise,"5' 6"" (1.68 m)"
John G. Avildsen,1935,USA,Illinois,"5' 5"" (1.65 m)"
Mathieu Kassovitz,1967,France,Paris,"5' 9½"" (1.77 m)"
Kar-Wai Wong,1956,China,Shanghai,"5' 11¾"" (1.82 m)"
Anurag Kashyap,1972,India,Uttar Pradesh,No info
Tate Taylor,1969,USA,Mississippi,"5' 10"" (1.78 m)"
Michael Powell,1905,UK,England,"6' 2"" (1.88 m)"
Wim Wenders,1945,Germany,North Rhine-Westphalia,"6' 3"" (1.91 m)"
Oriol Paulo,1975,Spain,Catalonia,No info
Ashutosh Gowariker,No info,No info,No info,No info
Nishikant Kamat,No info,No info,No info,No info
Katsuhiro Ôtomo,1954,Japan,Miyagi,No info
Ron Clements,1953,USA,Iowa,No info
Nuri Bilge Ceylan,1959,Turkey,Istanbul,"5' 10¾"" (1.8 m)"
